Index,Date,Tile,Label
0,20190430,Facebook_DL_Tile_100006.txt,0
1,20190518,Facebook_DL_Tile_100006.txt,0
2,20190414,Facebook_DL_Tile_100006.txt,0
3,20190407,Facebook_DL_Tile_100006.txt,0
4,20190325,Facebook_DL_Tile_100006.txt,0
5,20190412,Facebook_DL_Tile_100006.txt,0
6,20190423,Facebook_DL_Tile_100006.txt,0
7,20190519,Facebook_DL_Tile_100006.txt,0
8,20190316,Facebook_DL_Tile_100006.txt,0
9,20190406,Facebook_DL_Tile_100006.txt,0
10,20190408,Facebook_DL_Tile_100006.txt,0
11,20190526,Facebook_DL_Tile_100006.txt,0
12,20190501,Facebook_DL_Tile_100006.txt,1
13,20190503,Facebook_DL_Tile_100006.txt,0
14,20190429,Facebook_DL_Tile_100006.txt,0
15,20190403,Facebook_DL_Tile_100006.txt,0
16,20190428,Facebook_DL_Tile_100006.txt,0
17,20190418,Facebook_DL_Tile_100006.txt,0
18,20190331,Facebook_DL_Tile_100006.txt,0
19,20190401,Facebook_DL_Tile_100006.txt,0
20,20190424,Facebook_DL_Tile_100006.txt,0
21,20190410,Facebook_DL_Tile_100006.txt,0
22,20190502,Facebook_DL_Tile_100006.txt,0
23,20190511,Facebook_DL_Tile_100006.txt,0
24,20190524,Facebook_DL_Tile_100006.txt,0
25,20190330,Facebook_DL_Tile_100006.txt,0
26,20190420,Facebook_DL_Tile_100006.txt,0
27,20190525,Facebook_DL_Tile_100006.txt,0
28,20190321,Facebook_DL_Tile_100006.txt,0
29,20190413,Facebook_DL_Tile_100006.txt,0
30,20190505,Facebook_DL_Tile_100006.txt,0
31,20190426,Facebook_DL_Tile_100006.txt,0
32,20190404,Facebook_DL_Tile_100006.txt,0
33,20190422,Facebook_DL_Tile_100006.txt,1
34,20190417,Facebook_DL_Tile_100006.txt,0
35,20190520,Facebook_DL_Tile_100006.txt,0
36,20190504,Facebook_DL_Tile_100006.txt,0
37,20190322,Facebook_DL_Tile_100006.txt,0
38,20190521,Facebook_DL_Tile_100006.txt,0
39,20190405,Facebook_DL_Tile_100006.txt,0
40,20190515,Facebook_DL_Tile_100006.txt,0
41,20190514,Facebook_DL_Tile_100006.txt,0
42,20190510,Facebook_DL_Tile_100006.txt,0
43,20190319,Facebook_DL_Tile_100006.txt,0
44,20190517,Facebook_DL_Tile_100006.txt,0
45,20190318,Facebook_DL_Tile_100006.txt,0
46,20190527,Facebook_DL_Tile_100006.txt,0
47,20190317,Facebook_DL_Tile_100006.txt,0
48,20190326,Facebook_DL_Tile_100006.txt,0
49,20190509,Facebook_DL_Tile_100006.txt,0
50,20190320,Facebook_DL_Tile_100006.txt,0
51,20190327,Facebook_DL_Tile_100006.txt,0
52,20190531,Facebook_DL_Tile_100006.txt,0
53,20190409,Facebook_DL_Tile_100006.txt,0
54,20190522,Facebook_DL_Tile_100006.txt,0
55,20190512,Facebook_DL_Tile_100006.txt,1
56,20190506,Facebook_DL_Tile_100006.txt,0
57,20190508,Facebook_DL_Tile_100006.txt,1
58,20190507,Facebook_DL_Tile_100006.txt,0
59,20190425,Facebook_DL_Tile_100006.txt,0
60,20190402,Facebook_DL_Tile_100006.txt,0
61,20190416,Facebook_DL_Tile_100006.txt,0
62,20190329,Facebook_DL_Tile_100006.txt,0
63,20190530,Facebook_DL_Tile_100006.txt,0
64,20190411,Facebook_DL_Tile_100006.txt,0
65,20190324,Facebook_DL_Tile_100006.txt,0
66,20190323,Facebook_DL_Tile_100006.txt,0
67,20190328,Facebook_DL_Tile_100006.txt,0
68,20190529,Facebook_DL_Tile_100006.txt,0
69,20190516,Facebook_DL_Tile_100006.txt,0
70,20190427,Facebook_DL_Tile_100006.txt,0
71,20190421,Facebook_DL_Tile_100006.txt,0
72,20190419,Facebook_DL_Tile_100006.txt,0
73,20190528,Facebook_DL_Tile_100006.txt,0
74,20190513,Facebook_DL_Tile_100006.txt,0
75,20190523,Facebook_DL_Tile_100006.txt,0
76,20190415,Facebook_DL_Tile_100006.txt,0
77,20190430,Facebook_DL_Tile_100019.txt,0
78,20190518,Facebook_DL_Tile_100019.txt,0
79,20190414,Facebook_DL_Tile_100019.txt,0
80,20190407,Facebook_DL_Tile_100019.txt,0
81,20190325,Facebook_DL_Tile_100019.txt,0
82,20190412,Facebook_DL_Tile_100019.txt,0
83,20190423,Facebook_DL_Tile_100019.txt,0
84,20190519,Facebook_DL_Tile_100019.txt,0
85,20190316,Facebook_DL_Tile_100019.txt,0
86,20190406,Facebook_DL_Tile_100019.txt,0
87,20190408,Facebook_DL_Tile_100019.txt,0
88,20190526,Facebook_DL_Tile_100019.txt,0
89,20190501,Facebook_DL_Tile_100019.txt,1
90,20190503,Facebook_DL_Tile_100019.txt,0
91,20190429,Facebook_DL_Tile_100019.txt,0
92,20190403,Facebook_DL_Tile_100019.txt,0
93,20190428,Facebook_DL_Tile_100019.txt,0
94,20190418,Facebook_DL_Tile_100019.txt,0
95,20190331,Facebook_DL_Tile_100019.txt,0
96,20190401,Facebook_DL_Tile_100019.txt,0
97,20190424,Facebook_DL_Tile_100019.txt,0
98,20190410,Facebook_DL_Tile_100019.txt,0
99,20190502,Facebook_DL_Tile_100019.txt,0
100,20190511,Facebook_DL_Tile_100019.txt,0
101,20190524,Facebook_DL_Tile_100019.txt,0
102,20190330,Facebook_DL_Tile_100019.txt,0
103,20190420,Facebook_DL_Tile_100019.txt,0
104,20190525,Facebook_DL_Tile_100019.txt,0
105,20190321,Facebook_DL_Tile_100019.txt,0
106,20190413,Facebook_DL_Tile_100019.txt,0
107,20190505,Facebook_DL_Tile_100019.txt,0
108,20190426,Facebook_DL_Tile_100019.txt,0
109,20190404,Facebook_DL_Tile_100019.txt,0
110,20190422,Facebook_DL_Tile_100019.txt,1
111,20190417,Facebook_DL_Tile_100019.txt,0
112,20190520,Facebook_DL_Tile_100019.txt,0
113,20190504,Facebook_DL_Tile_100019.txt,0
114,20190322,Facebook_DL_Tile_100019.txt,0
115,20190521,Facebook_DL_Tile_100019.txt,0
116,20190405,Facebook_DL_Tile_100019.txt,0
117,20190515,Facebook_DL_Tile_100019.txt,0
118,20190514,Facebook_DL_Tile_100019.txt,0
119,20190510,Facebook_DL_Tile_100019.txt,0
120,20190319,Facebook_DL_Tile_100019.txt,0
121,20190517,Facebook_DL_Tile_100019.txt,0
122,20190318,Facebook_DL_Tile_100019.txt,0
123,20190527,Facebook_DL_Tile_100019.txt,0
124,20190317,Facebook_DL_Tile_100019.txt,0
125,20190326,Facebook_DL_Tile_100019.txt,0
126,20190509,Facebook_DL_Tile_100019.txt,0
127,20190320,Facebook_DL_Tile_100019.txt,0
128,20190327,Facebook_DL_Tile_100019.txt,0
129,20190531,Facebook_DL_Tile_100019.txt,0
130,20190409,Facebook_DL_Tile_100019.txt,0
131,20190522,Facebook_DL_Tile_100019.txt,0
132,20190512,Facebook_DL_Tile_100019.txt,1
133,20190506,Facebook_DL_Tile_100019.txt,0
134,20190508,Facebook_DL_Tile_100019.txt,1
135,20190507,Facebook_DL_Tile_100019.txt,0
136,20190425,Facebook_DL_Tile_100019.txt,0
137,20190402,Facebook_DL_Tile_100019.txt,0
