timestamp,object,fault_description,kpi,name,node_type,root_cause_node
1554076800,Facebook,Traffic anomaly,traffic_volume,Facebook_62968,Zone,Facebook_62968
1552694400,Facebook,Traffic anomaly,traffic_volume,Facebook_65541,Zone,Facebook_65541
1558137600,Facebook,Traffic anomaly,traffic_volume,Facebook_66115,Zone,Facebook_66115
1552694400,Facebook,Traffic anomaly,traffic_volume,Facebook_66115,Zone,Facebook_66115
1554508800,Facebook,Traffic anomaly,traffic_volume,Facebook_66115,Zone,Facebook_66115
1558742400,Facebook,Traffic anomaly,traffic_volume,Facebook_66115,Zone,Facebook_66115
1554336000,Netflix,Traffic anomaly,traffic_volume,Netflix_56377,Zone,Netflix_56377
1554336000,Netflix,Traffic anomaly,traffic_volume,Netflix_56378,Zone,Netflix_56378
1554336000,Netflix,Traffic anomaly,traffic_volume,Netflix_56379,Zone,Netflix_56379
1554249600,Netflix,Traffic anomaly,traffic_volume,Netflix_56642,Zone,Netflix_56642
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_100772,Zone,Facebook_100772
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_100827,Zone,Facebook_100827
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_101680,Zone,Facebook_101680
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_10372,Zone,Facebook_10372
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_114279,Zone,Facebook_114279
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_115426,Zone,Facebook_115426
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_115988,Zone,Facebook_115988
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_14989,Zone,Facebook_14989
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_15844,Zone,Facebook_15844
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_1786,Zone,Facebook_1786
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_19026,Zone,Facebook_19026
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_2362,Zone,Facebook_2362
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_25086,Zone,Facebook_25086
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_25630,Zone,Facebook_25630
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_25632,Zone,Facebook_25632
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_26533,Zone,Facebook_26533
1557619200,Facebook,Traffic anomaly,traffic_volume,Facebook_26792,Zone,Facebook_26792
